epoch,Training Loss M1:Bert_Base,Training Loss M2:XLNet_Base,Valid. Loss M1:Bert_Base,Valid. Loss M2:XLNet_Base,Training Accur. M1:Bert_Base,Training Accur. M2:XLNet_Base,Training F1 Score M1:Bert_Base,Training F1 Score M2:XLNet_Base,Valid. Accur. M1:Bert_Base,Valid. Accur. M2:XLNet_Base,Valid. F1 Score M1:Bert_Base,Valid. F1 Score M2:XLNet_Base,Test Accur. M1:Bert_Base,Test Accur. M2:XLNet_Base,Test F1 Score M1:Bert_Base,Test F1 Score M2:XLNet_Base,Training Time,Validation Time,Test Time
1,0.3294039745864115,0.38947461086668467,0.1337895987985226,0.1886310359606376,0.8552161654135337,0.8225093984962406,0.880924974611505,0.8458435666895128,0.9519230769230769,0.9519230769230769,0.9529538235813351,0.9521100462296205,0.9423076923076923,0.9254807692307693,0.9431470874431838,0.9252006200249882,0:00:29,0:00:01,0:00:01
2,0.1009182756668643,0.1850377306538193,0.10507462016091897,0.11436899106663007,0.968233082706767,0.9389567669172932,0.9675257599763886,0.9389719987148575,0.9711538461538461,0.9543269230769231,0.9713545801812126,0.953996028548154,0.9399038461538461,0.9447115384615384,0.9406816263900087,0.944321260245159,0:00:29,0:00:01,0:00:01
3,0.049311688463938866,0.10352374059393217,0.11722273365236245,0.13340280606196478,0.9851973684210527,0.9697368421052631,0.985225920334438,0.9696176100786155,0.9711538461538461,0.9591346153846154,0.9711054801392238,0.9593149966934844,0.9447115384615384,0.9423076923076923,0.9443976241235662,0.9419897652701998,0:00:29,0:00:01,0:00:01
4,0.01216325207129366,0.059729757208965326,0.17899980052159384,0.1665046587586403,0.9967105263157895,0.9855263157894737,0.9967136248346972,0.9854786410395108,0.9591346153846154,0.9543269230769231,0.9598292913193596,0.9540553009076388,0.9471153846153846,0.9447115384615384,0.9480706503152082,0.9441822516150518,0:00:29,0:00:01,0:00:01
5,0.013294327471981218,0.05321620523892833,0.2351752485220249,0.13376345456792757,0.9967105263157895,0.9875,0.9967193596187142,0.987493031549527,0.9591346153846154,0.9735576923076923,0.9603720766070748,0.973642258502431,0.9423076923076923,0.9471153846153846,0.943289836850639,0.946814117973829,0:00:29,0:00:01,0:00:01
