epoch,Training Loss M1:Bert_Large,Training Loss M2:XLNet_Base,Valid. Loss M1:Bert_Large,Valid. Loss M2:XLNet_Base,Training Accur. M1:Bert_Large,Training Accur. M2:XLNet_Base,Training F1 Score M1:Bert_Large,Training F1 Score M2:XLNet_Base,Valid. Accur. M1:Bert_Large,Valid. Accur. M2:XLNet_Base,Valid. F1 Score M1:Bert_Large,Valid. F1 Score M2:XLNet_Base,Test Accur. M1:Bert_Large,Test Accur. M2:XLNet_Base,Test F1 Score M1:Bert_Large,Test F1 Score M2:XLNet_Base,Training Time,Validation Time,Test Time
1,0.4472710230658131,0.4944043483945631,0.38824740424752235,0.47812807746231556,0.787519453876627,0.758046830786644,0.7901643897757841,0.765302215195117,0.8177083333333334,0.78125,0.8189422890595832,0.7864963679269553,0.8255208333333334,0.80078125,0.8278436272267707,0.8051083194239409,0:01:44,0:00:04,0:00:04
2,0.2530898820729025,0.3492993158839082,0.479974905649821,0.40909581383069354,0.902774830220713,0.8556168647425014,0.9029435820786733,0.8560353194701384,0.8151041666666666,0.83984375,0.815394356863794,0.8394864728276178,0.8216145833333334,0.8229166666666666,0.8235449072421099,0.8222348643893737,0:01:43,0:00:04,0:00:04
3,0.13678783124252672,0.25551174506945634,0.6177433878183365,0.642022562523683,0.9522849462365591,0.898282753254103,0.9522514316891514,0.8982887253949542,0.8333333333333334,0.8059895833333334,0.8337427046823813,0.8075308760566204,0.8216145833333334,0.7942708333333334,0.8225305405768707,0.7957216835174571,0:01:43,0:00:04,0:00:04
4,0.06943320285814304,0.17956330950662333,1.0755034337441127,0.5191656015813351,0.9810147849462365,0.9332378324844369,0.9810029493748129,0.9333066811632935,0.8125,0.8190104166666666,0.8152132221574974,0.8186308639019163,0.80859375,0.8216145833333334,0.811145358259819,0.8211421301249034,0:01:43,0:00:04,0:00:04
5,0.039109645365212886,0.128194833995514,1.2238883624474208,0.7119599667688211,0.9899193548387096,0.9556982173174873,0.9899156638928118,0.9557426703455532,0.8190104166666666,0.81640625,0.8202160132209025,0.8182387078541121,0.8216145833333334,0.8125,0.8239046983098147,0.8138867575597984,0:01:43,0:00:04,0:00:04
