epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.38950966479837573,0.3734858348034322,0.37356168559441966,0.824260752688172,0.8307291666666666,0.8346354166666666,0:00:33,0:00:01,0:00:01
2,0.2571446696917216,0.43036034516990185,0.44559172602991265,0.8960013440860215,0.8346354166666666,0.8203125,0:00:33,0:00:01,0:00:01
3,0.17084404527771746,0.7229554698181649,0.7064449495325485,0.9408602150537635,0.8151041666666666,0.8216145833333334,0:00:33,0:00:01,0:00:01
