,loss,accuracy,val_loss,val_accuracy
0,0.4700834092651725,0.8012341856956482,0.36902174229423207,0.8411458134651184
1,0.26384740010915386,0.8950958251953125,0.313809996470809,0.8880208134651184
2,0.21501147010451055,0.9207534790039062,0.2695937951405843,0.8828125
3,0.1809772214464802,0.927898645401001,0.3562868535518646,0.8776041865348816
4,0.16109355755172097,0.9421890377998352,0.28248015604913235,0.8958333134651184
5,0.11825193491615851,0.9529067873954773,0.3727096455792586,0.8802083134651184
6,0.09736327563459976,0.9632997512817383,0.3201355650089681,0.9036458134651184
7,0.0705734496918356,0.9772653579711914,0.3792684027769913,0.8958333134651184
8,0.041755288342391596,0.9866839647293091,0.551803290960379,0.8932291865348816
9,0.04386403139406279,0.9857096672058105,0.5277920523658395,0.8802083134651184
10,0.020609856982753125,0.9938291907310486,0.7351616867429888,0.8854166865348816
11,0.013675867576247669,0.9954530596733093,0.6354814299071828,0.8854166865348816
12,0.005849161017653497,0.9990256428718567,0.9293068933960361,0.8828125
13,0.00856755427375742,0.9964274168014526,0.7756868277986845,0.8854166865348816
14,0.002525929872886786,0.9993504285812378,0.7409263697142402,0.8932291865348816
