epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.5004834939051974,0.41911592582861584,0.42806264758110046,0.7415226063829787,0.8098958333333334,0.8033854166666666,0:00:20,0:00:01,0:00:01
2,0.3712248724062947,0.41785159210364026,0.4228815585374832,0.8344414893617021,0.8216145833333334,0.80859375,0:00:20,0:00:01,0:00:01
3,0.28471875125839513,0.4269506086905797,0.44816722472508747,0.8751662234042553,0.8268229166666666,0.8111979166666666,0:00:20,0:00:01,0:00:01
