epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.5455337071127476,0.4544141987959544,0.4529574165741603,0.695811170212766,0.8046875,0.8020833333333334,0:00:20,0:00:01,0:00:01
2,0.3701023461713277,0.40362417697906494,0.4261171569426854,0.8296210106382979,0.81640625,0.8098958333333334,0:00:20,0:00:01,0:00:01
3,0.27384442889052346,0.42033598323663074,0.4276718000570933,0.8834773936170213,0.82421875,0.8125,0:00:20,0:00:01,0:00:01
