,acc,loss,val_acc,val_loss
0,0.5570974755478512,0.6949026613525674,0.6224899657439675,0.6431560989524147
1,0.6850025082507514,0.5944927545459628,0.7014725485160808,0.5737322802684074
2,0.732319010478002,0.5259084457777911,0.7108433643178927,0.5754425308630967
3,0.7659254306495997,0.4809586354032286,0.717536816635285,0.5601102313203824
4,0.7961879286892019,0.44041864832315414,0.7255689332603291,0.545766775866589
5,0.826617622401399,0.3906022202179317,0.724230256265745,0.5558738170697827
6,0.8588864734451461,0.32380803394050545,0.7095046846901716,0.5711020543233777
7,0.9021902693751025,0.2559646296074629,0.7336010652054425,0.6599120686012738
8,0.9271024909630964,0.19631792764124753,0.7081659897423812,0.8147805260526767
9,0.9306136100831548,0.1688517260124922,0.7309236932630679,0.76244576101801
10,0.966393579987853,0.09271046741887531,0.7376171260314135,1.0585977460645448
11,0.9822772113281515,0.05497115236127622,0.7402945098628002,1.1197746669751414
12,0.9892994484122511,0.033683214861076824,0.7402945175228348,1.2858141890491348
13,0.9936465477190016,0.01990773588639451,0.7242302528346878,1.4737214874551
14,0.9963216854963508,0.01406560796678136,0.7469879563553745,1.567753507909047
