epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.4180095377528379,0.3963040979579091,0.38810454681515694,0.8146841397849462,0.8203125,0.828125,0:01:30,0:00:03,0:00:03
2,0.2435672189527121,0.5268559073253224,0.49667212134227157,0.9092741935483871,0.828125,0.8333333333333334,0:01:30,0:00:03,0:00:03
3,0.13520214598990793,0.7768947458826005,0.7164433143722514,0.9610215053763441,0.8177083333333334,0.83203125,0:01:29,0:00:03,0:00:03
