epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.41173677419823024,0.3806129638105631,0.389319709657381,0.8190524193548387,0.828125,0.82421875,0:01:29,0:00:03,0:00:03
2,0.26334634597878903,0.47324497485533357,0.507434157965084,0.9059139784946236,0.828125,0.81640625,0:01:29,0:00:03,0:00:03
3,0.15257550609784365,0.7322519469695786,0.7366224866127595,0.9549731182795699,0.8203125,0.8177083333333334,0:01:29,0:00:03,0:00:03
