epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.4188074908689946,0.41132171048472327,0.3997848192229867,0.8172043010752689,0.8151041666666666,0.82421875,0:01:29,0:00:03,0:00:03
2,0.2559567970947878,0.5390796191059053,0.47029178713758785,0.9064180107526881,0.8098958333333334,0.8268229166666666,0:01:29,0:00:03,0:00:03
3,0.14772994366696016,0.8295994854221741,0.8710338170640171,0.9566532258064516,0.8151041666666666,0.80078125,0:01:29,0:00:03,0:00:03
