,loss,accuracy,val_loss,val_accuracy
0,0.4632364338135015,0.8080545663833618,0.3590871424724658,0.8411458134651184
1,0.2685881500296021,0.8908736705780029,0.330072184248517,0.8828125
2,0.22508371420284493,0.9097109436988831,0.2936643346523245,0.875
3,0.19319201595706187,0.9204286932945251,0.32026965559149784,0.890625
4,0.16120408077038564,0.938941240310669,0.31110208791991073,0.8880208134651184
5,0.12300040547473742,0.9525820016860962,0.414249198200802,0.8776041865348816
6,0.09912598043932455,0.9645988941192627,0.3920937160340448,0.8854166865348816
7,0.0716627324807611,0.9740175604820251,0.37539247043120366,0.890625
8,0.05191135136965637,0.9824618101119995,0.5450155637226999,0.8958333134651184
9,0.04834651141264121,0.9811627268791199,0.5698484451665232,0.8828125
10,0.03105928122330571,0.9889574646949768,0.6541119796456769,0.8984375
11,0.020596621732324523,0.9935044050216675,0.6243483562332889,0.8828125
12,0.020323550466503422,0.9925300478935242,0.589183409155036,0.8932291865348816
13,0.018948276178466804,0.9922052621841431,0.6203976154210977,0.9010416865348816
14,0.011888179323647073,0.9957778453826904,0.6784975473832068,0.8984375
