epoch,Training Loss,Valid. Loss,Training Accur.,Valid. Accur.,Training Time,Validation Time
1,0.6703747502859319,0.4518613132661961,0.7625891265597148,0.8257978723404256,0:01:15,0:00:05
2,0.3908710507862435,0.426416184153926,0.8467023172905527,0.8311170212765957,0:01:15,0:00:05
3,0.28753210145490493,0.50722369267569,0.8713235294117647,0.8200987841945289,0:01:14,0:00:05
4,0.22220985923495418,0.4861986623551793,0.8892602495543671,0.8236132218844985,0:01:14,0:00:05
5,0.16387716020186874,0.45484902590801496,0.9059157754010695,0.8256079027355624,0:01:14,0:00:05
