epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.44932186714203287,0.41742528579197824,0.4247275865636766,0.792002688172043,0.8216145833333334,0.8294270833333334,0:00:33,0:00:01,0:00:01
2,0.29888944599717376,0.4088339605368674,0.42134108021855354,0.8834005376344086,0.82421875,0.81640625,0:00:33,0:00:01,0:00:01
3,0.16827975309648557,0.7042323974892497,0.6906869390513748,0.9425403225806451,0.8125,0.8268229166666666,0:00:33,0:00:01,0:00:01
