epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.5001809951919381,0.5171798259640733,0.5000422003989419,0.792002688172043,0.796875,0.81640625,0:01:30,0:00:03,0:00:03
2,0.37792656983258904,0.4775476198022564,0.47416261956095695,0.8501344086021505,0.8216145833333334,0.8138020833333334,0:01:30,0:00:03,0:00:03
