,val_loss,val_accuracy,loss,accuracy
0,0.4489690661430359,0.8151041865348816,0.6041011048160849,0.680415689945221
1,0.39309942722320557,0.8333333134651184,0.40275112819017317,0.8145501613616943
2,0.518460194269816,0.7578125,0.34934841278854534,0.8496264815330505
3,0.4426197012265523,0.8046875,0.3840874870050337,0.8239688277244568
4,0.3964257836341858,0.8229166865348816,0.40914539528690635,0.8135758638381958
5,0.3957734803358714,0.8359375,0.32045932035238645,0.8652159571647644
6,0.35921404759089154,0.8463541865348816,0.2991522375776149,0.883078932762146
7,0.3725229303042094,0.8333333134651184,0.2827055515088056,0.8843780159950256
8,0.3939314583937327,0.8463541865348816,0.25666002061952436,0.8967196941375732
9,0.37648455301920575,0.8489583134651184,0.23780628932823256,0.9058135747909546
