,acc,loss,val_acc,val_loss
0,0.643065930516273,0.6894648647920076,0.640625,0.6327188412348429
1,0.6781422540366397,0.596383203930497,0.7395833333333334,0.5139547983805338
2,0.78044819746671,0.4688441479901053,0.7057291666666666,0.5820634563763937
3,0.8074050016432623,0.4237173635896129,0.828125,0.4116253952185313
4,0.8483273790385205,0.35298870033008317,0.8229166666666666,0.3779586950937907
5,0.8590451445468024,0.3299378255099668,0.8333333333333334,0.380999892950058
6,0.8717115947123122,0.3107988984118657,0.8307291666666666,0.3861655791600545
7,0.8817797986552792,0.290380652924953,0.8359375,0.37640078862508136
8,0.8983436180771694,0.26017690027213086,0.8359375,0.38587019840876263
9,0.905164014290354,0.24755777469671325,0.8489583333333334,0.3814614415168762
