epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.2138904222646339,0.21715792540747386,0.23285167413548782,0.9308862433862434,0.9519230769230769,0.9471153846153846,0:00:48,0:00:02,0:00:02
2,0.07972264287884905,0.3142552739725663,0.2802255511856996,0.9775132275132276,0.9543269230769231,0.9543269230769231,0:00:48,0:00:02,0:00:02
3,0.026519959634796093,0.32510136311443955,0.3538258911038821,0.9914021164021164,0.9495192307692307,0.9495192307692307,0:00:47,0:00:02,0:00:02
