epoch,Training Loss,Valid. Loss,Test Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.20471523140394499,0.14927456742868975,0.20343522713161433,0.9341931216931217,0.9543269230769231,0.9326923076923077,0:00:49,0:00:02,0:00:02
2,0.10560302170259613,0.2359036791783113,0.2489666395749037,0.968915343915344,0.9519230769230769,0.9519230769230769,0:00:47,0:00:02,0:00:02
3,0.04133253053778245,0.27179189083667904,0.26665085855011755,0.9880952380952381,0.9543269230769231,0.9567307692307693,0:00:48,0:00:02,0:00:02
