epoch,Training Loss,Valid. Loss,Test. Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.4744082989611773,0.4173208847641945,0.4446539084116618,0.7807459677419355,0.8216145833333334,0.8046875,0:00:23,0:00:01,0:00:01
2,0.3472752235329119,0.3999849831064542,0.41641989971200627,0.8565188172043011,0.8190104166666666,0.8151041666666666,0:00:23,0:00:01,0:00:01
3,0.25351715872755215,0.4862179147700469,0.5034375401834646,0.9049059139784946,0.7981770833333334,0.8151041666666666,0:00:23,0:00:01,0:00:01
