epoch,Training Loss,Valid. Loss,Test. Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.5056333754972745,0.43879204615950584,0.44496884879966575,0.748991935483871,0.80859375,0.7890625,0:00:23,0:00:01,0:00:01
2,0.3612772528112175,0.4360169532398383,0.4325610933204492,0.8501344086021505,0.8138020833333334,0.82421875,0:00:23,0:00:01,0:00:01
3,0.26270245916400387,0.4998448385546605,0.504889122210443,0.896505376344086,0.8138020833333334,0.8151041666666666,0:00:23,0:00:01,0:00:01
