epoch,Training Loss,Valid. Loss,Test. Loss,Training Accur.,Valid. Accur.,Test Accur.,Training Time,Validation Time,Test Time
1,0.4950406476755136,0.44140916193525,0.44874150678515434,0.7659610215053764,0.8020833333333334,0.81640625,0:00:24,0:00:01,0:00:01
2,0.35550389974628405,0.4097856854399045,0.425865547110637,0.8489583333333334,0.8177083333333334,0.8190104166666666,0:00:23,0:00:01,0:00:01
3,0.26289713020957206,0.47526081278920174,0.4743077630798022,0.8991935483870968,0.8059895833333334,0.8203125,0:00:23,0:00:01,0:00:01
