epoch,Training Loss M1:Bert_Base,Training Loss M2:Roberta_Base,Valid. Loss M1:Bert_Base,Valid. Loss M2:Roberta_Base,Training Accur. M1:Bert_Base,Training Accur. M2:Roberta_Base,Training F1 Score M1:Bert_Base,Training F1 Score M2:Roberta_Base,Valid. Accur. M1:Bert_Base,Valid. Accur. M2:Roberta_Base,Valid. F1 Score M1:Bert_Base,Valid. F1 Score M2:Roberta_Base,Test Accur. M1:Bert_Base,Test Accur. M2:Roberta_Base,Test F1 Score M1:Bert_Base,Test F1 Score M2:Roberta_Base,Training Time,Validation Time,Test Time
1,0.44771385144802833,0.5007728419156485,0.3854789311687152,0.3932667976866166,0.7902076259196378,0.7562075551782682,0.7978555931545648,0.7731123803621391,0.8216145833333334,0.8216145833333334,0.8211061369033209,0.8214735158285769,0.8229166666666666,0.8203125,0.8227141011407083,0.8209346310449881,0:00:48,0:00:02,0:00:02
2,0.282089798200515,0.3416094239200315,0.426612784465154,0.43800791042546433,0.8928091397849462,0.8649105121675156,0.8931026580421428,0.865398427740582,0.81640625,0.8203125,0.8162541705812232,0.8199886870380215,0.796875,0.8216145833333334,0.7962945611277189,0.822709447270816,0:00:49,0:00:02,0:00:02
3,0.16077455763094206,0.24980380632463964,0.622800941268603,0.4548336074997981,0.9434334323712507,0.9042869269949066,0.9434891510555427,0.9045388358697714,0.8111979166666666,0.8307291666666666,0.81184760036944,0.8302494180157312,0.8229166666666666,0.8203125,0.8229889429526741,0.8202864686223362,0:00:48,0:00:02,0:00:02
4,0.10383017414239465,0.175843178655111,0.6612937798102697,0.5267853774130344,0.968131013016412,0.9401262733446519,0.9681283113482761,0.9401067157128152,0.8190104166666666,0.82421875,0.8188124058522303,0.8256516983902903,0.8111979166666666,0.8268229166666666,0.8109921767423193,0.8286035014053983,0:00:48,0:00:02,0:00:02
5,0.047543275753982484,0.1324578972973971,1.1598409463961918,0.5876746345311403,0.9860551075268817,0.9598454301075269,0.9860712356075598,0.9598011164149279,0.8020833333333334,0.8307291666666666,0.8042059310274207,0.8312813986590104,0.81640625,0.8229166666666666,0.8178819812981053,0.8245819892850238,0:00:48,0:00:02,0:00:02
