epoch,Training Loss M1:Bert_Large,Training Loss M2:Roberta_Base,Valid. Loss M1:Bert_Large,Valid. Loss M2:Roberta_Base,Training Accur. M1:Bert_Large,Training Accur. M2:Roberta_Base,Training F1 Score M1:Bert_Large,Training F1 Score M2:Roberta_Base,Valid. Accur. M1:Bert_Large,Valid. Accur. M2:Roberta_Base,Valid. F1 Score M1:Bert_Large,Valid. F1 Score M2:Roberta_Base,Test Accur. M1:Bert_Large,Test Accur. M2:Roberta_Base,Test F1 Score M1:Bert_Large,Test F1 Score M2:Roberta_Base,Training Time,Validation Time,Test Time
1,0.2987644221045469,0.3714913312149675,0.11764496106367844,0.1522058188342131,0.8703477443609022,0.8292763157894737,0.8859488867729931,0.8684149777151511,0.9591346153846154,0.9495192307692307,0.9592801151828331,0.9504034426387313,0.9567307692307693,0.9375,0.956756501473007,0.9384721906164195,0:00:46,0:00:02,0:00:02
2,0.08684666291075317,0.1606876456031674,0.14743637737746423,0.16623313610370344,0.9773026315789474,0.95,0.9773371781127661,0.9499889576974969,0.9615384615384616,0.9495192307692307,0.9616318292862994,0.9495277882307734,0.9519230769230769,0.9591346153846154,0.9520379975495677,0.9592264746127348,0:00:46,0:00:02,0:00:02
3,0.039283650731177705,0.10248195901513099,0.29482721623319846,0.24341009786495796,0.9917763157894737,0.975,0.9918119783061152,0.9749293355792538,0.9471153846153846,0.9447115384615384,0.9492422487825585,0.9450983595435625,0.9447115384615384,0.9519230769230769,0.945720147744903,0.9524283658464522,0:00:45,0:00:02,0:00:02
4,0.014384152976900192,0.05253830153593107,0.31928406885037053,0.23047983130583397,0.9963815789473685,0.9881578947368421,0.9963914821951056,0.9881243318231471,0.9567307692307693,0.9471153846153846,0.9567436543591834,0.9473182097419289,0.9543269230769231,0.9567307692307693,0.9542788250995172,0.9565897059070931,0:00:45,0:00:02,0:00:02
5,0.009999786636724725,0.038278487604724146,0.28020399436354637,0.28100263613920945,0.9980263157894737,0.9914473684210526,0.9980220699961879,0.9914316961219114,0.9591346153846154,0.9519230769230769,0.9598714576281662,0.9515699406079972,0.9495192307692307,0.9543269230769231,0.9498321994052428,0.9543532671031681,0:00:45,0:00:02,0:00:02
